id,tweet_id,time,count,accu_count,exposed_user_count
212555544,536729769631842300,2014-11-23 22:55:23-05,34624,34624,49526000
212555545,536729769631842300,2014-11-23 23:25:23-05,3421,38045,4085693
212555546,536729769631842300,2014-11-23 23:55:23-05,2444,40489,3876259
212555547,536729769631842300,2014-11-24 00:25:23-05,2230,42719,23554345
212555548,536729769631842300,2014-11-24 00:55:23-05,2226,44945,3164873
212555549,536729769631842300,2014-11-24 01:25:23-05,1673,46618,2377426
212555550,536729769631842300,2014-11-24 01:55:23-05,1217,47835,3829685
212555551,536729769631842300,2014-11-24 02:25:23-05,855,48690,1367078
212555552,536729769631842300,2014-11-24 02:55:23-05,765,49455,1329134
212555553,536729769631842300,2014-11-24 03:25:23-05,647,50102,1201201
212555554,536729769631842300,2014-11-24 03:55:23-05,569,50671,1034198
212555555,536729769631842300,2014-11-24 04:25:23-05,528,51199,751761
212555556,536729769631842300,2014-11-24 04:55:23-05,564,51763,1280515
212555557,536729769631842300,2014-11-24 05:25:23-05,537,52300,904690
212555558,536729769631842300,2014-11-24 05:55:23-05,654,52954,964310
212555559,536729769631842300,2014-11-24 06:25:23-05,626,53580,1558278
212555560,536729769631842300,2014-11-24 06:55:23-05,659,54239,1052525
212555561,536729769631842300,2014-11-24 07:25:23-05,532,54771,790612
212555562,536729769631842300,2014-11-24 07:55:23-05,567,55338,1057696
212555563,536729769631842300,2014-11-24 08:25:23-05,494,55832,803945
212555564,536729769631842300,2014-11-24 08:55:23-05,504,56336,873229
212555565,536729769631842300,2014-11-24 09:25:23-05,503,56839,909064
212555566,536729769631842300,2014-11-24 09:55:23-05,403,57242,683907
212555567,536729769631842300,2014-11-24 10:25:23-05,392,57634,602784
212555568,536729769631842300,2014-11-24 10:55:23-05,484,58118,921791
212555569,536729769631842300,2014-11-24 11:25:23-05,633,58751,1241804
212555570,536729769631842300,2014-11-24 11:55:23-05,358,59109,590242
212555571,536729769631842300,2014-11-24 12:25:23-05,276,59385,382223
212555572,536729769631842300,2014-11-24 12:55:23-05,235,59620,432741
212555573,536729769631842300,2014-11-24 13:25:23-05,207,59827,248495
212555574,536729769631842300,2014-11-24 13:55:23-05,198,60025,306301
212555575,536729769631842300,2014-11-24 14:25:23-05,187,60212,290092
212555576,536729769631842300,2014-11-24 14:55:23-05,217,60429,303946
212555577,536729769631842300,2014-11-24 15:25:23-05,203,60632,248676
212555578,536729769631842300,2014-11-24 15:55:23-05,196,60828,265489
212555579,536729769631842300,2014-11-24 16:25:23-05,192,61020,304797
212555580,536729769631842300,2014-11-24 16:55:23-05,190,61210,198472
212555581,536729769631842300,2014-11-24 17:25:23-05,144,61354,268885
212555582,536729769631842300,2014-11-24 17:55:23-05,101,61455,94622
212555583,536729769631842300,2014-11-24 18:25:23-05,99,61554,123333
212555584,536729769631842300,2014-11-24 18:55:23-05,76,61630,115174
212555585,536729769631842300,2014-11-24 19:25:23-05,70,61700,75125
212555586,536729769631842300,2014-11-24 19:55:23-05,72,61772,57226
212555587,536729769631842300,2014-11-24 20:25:23-05,83,61855,91094
212555588,536729769631842300,2014-11-24 20:55:23-05,62,61917,67862
212555589,536729769631842300,2014-11-24 21:25:23-05,49,61966,47624
212555590,536729769631842300,2014-11-24 21:55:23-05,52,62018,47930
212555591,536729769631842300,2014-11-24 22:25:23-05,49,62067,53917
212555592,536729769631842300,2014-11-24 22:55:23-05,37,62104,48518
212555593,536729769631842300,2014-11-24 23:25:23-05,30,62134,47747
212555594,536729769631842300,2014-11-24 23:55:23-05,33,62167,28406
212555595,536729769631842300,2014-11-25 00:25:23-05,24,62191,29039
212555596,536729769631842300,2014-11-25 00:55:23-05,33,62224,41812
212555597,536729769631842300,2014-11-25 01:25:23-05,32,62256,31422
212555598,536729769631842300,2014-11-25 01:55:23-05,22,62278,30897
212555599,536729769631842300,2014-11-25 02:25:23-05,37,62315,73319
212555600,536729769631842300,2014-11-25 02:55:23-05,23,62338,25688
212555601,536729769631842300,2014-11-25 03:25:23-05,22,62360,32451
212555602,536729769631842300,2014-11-25 03:55:23-05,43,62403,48304
212555603,536729769631842300,2014-11-25 04:25:23-05,35,62438,47371
212555604,536729769631842300,2014-11-25 04:55:23-05,42,62480,61437
212555605,536729769631842300,2014-11-25 05:25:23-05,32,62512,26451
212555606,536729769631842300,2014-11-25 05:55:23-05,40,62552,38014
212555607,536729769631842300,2014-11-25 06:25:23-05,40,62592,49053
212555608,536729769631842300,2014-11-25 06:55:23-05,32,62624,47737
212555609,536729769631842300,2014-11-25 07:25:23-05,32,62656,53057
212555610,536729769631842300,2014-11-25 07:55:23-05,45,62701,101956
212555611,536729769631842300,2014-11-25 08:25:23-05,43,62744,57950
212555612,536729769631842300,2014-11-25 08:55:23-05,36,62780,33242
212555613,536729769631842300,2014-11-25 09:25:23-05,43,62823,52234
212555614,536729769631842300,2014-11-25 09:55:23-05,40,62863,53291
212555615,536729769631842300,2014-11-25 10:25:23-05,28,62891,65005
212555616,536729769631842300,2014-11-25 10:55:23-05,88,62979,134925
212555617,536729769631842300,2014-11-25 11:25:23-05,121,63100,181515
212555618,536729769631842300,2014-11-25 11:55:23-05,42,63142,103617
212555619,536729769631842300,2014-11-25 12:25:23-05,40,63182,66254
212555620,536729769631842300,2014-11-25 12:55:23-05,34,63216,33751
212555621,536729769631842300,2014-11-25 13:25:23-05,45,63261,58098
212555622,536729769631842300,2014-11-25 13:55:23-05,43,63304,54087
212555623,536729769631842300,2014-11-25 14:25:23-05,34,63338,28571
212555624,536729769631842300,2014-11-25 14:55:23-05,34,63372,49779
212555625,536729769631842300,2014-11-25 15:25:23-05,40,63412,41067
212555626,536729769631842300,2014-11-25 15:55:23-05,33,63445,43338
212555627,536729769631842300,2014-11-25 16:25:23-05,33,63478,39464
212555628,536729769631842300,2014-11-25 16:55:23-05,30,63508,53343
212555629,536729769631842300,2014-11-25 17:25:23-05,27,63535,45070
212555630,536729769631842300,2014-11-25 17:55:23-05,24,63559,40708
212555631,536729769631842300,2014-11-25 18:25:23-05,23,63582,83154
212555632,536729769631842300,2014-11-25 18:55:23-05,21,63603,24811
212555633,536729769631842300,2014-11-25 19:25:23-05,20,63623,11146
212555634,536729769631842300,2014-11-25 19:55:23-05,18,63641,9963
212555635,536729769631842300,2014-11-25 20:25:23-05,23,63664,24700
212555636,536729769631842300,2014-11-25 20:55:23-05,14,63678,8780
212555637,536729769631842300,2014-11-25 21:25:23-05,15,63693,37291
212555638,536729769631842300,2014-11-25 21:55:23-05,16,63709,17672
212555639,536729769631842300,2014-11-25 22:25:23-05,15,63724,7734
212555640,536729769631842300,2014-11-25 22:55:23-05,13,63737,18354
212555641,536729769631842300,2014-11-25 23:25:23-05,9,63746,3448
212555642,536729769631842300,2014-11-25 23:55:23-05,7,63753,1840
212555643,536729769631842300,2014-11-26 00:25:23-05,7,63760,11330
212555644,536729769631842300,2014-11-26 00:55:23-05,6,63766,3079
212555645,536729769631842300,2014-11-26 01:25:23-05,7,63773,2836
212555646,536729769631842300,2014-11-26 01:55:23-05,6,63779,2189
212555647,536729769631842300,2014-11-26 02:25:23-05,5,63784,3329
212555648,536729769631842300,2014-11-26 02:55:23-05,9,63793,24141
212555649,536729769631842300,2014-11-26 03:25:23-05,7,63800,7348
212555650,536729769631842300,2014-11-26 03:55:23-05,3,63803,3481
212555651,536729769631842300,2014-11-26 04:25:23-05,6,63809,1331
212555652,536729769631842300,2014-11-26 04:55:23-05,9,63818,5108
212555653,536729769631842300,2014-11-26 05:25:23-05,13,63831,15881
212555654,536729769631842300,2014-11-26 05:55:23-05,13,63844,61381
212555655,536729769631842300,2014-11-26 06:25:23-05,11,63855,9904
212555656,536729769631842300,2014-11-26 06:55:23-05,15,63870,18994
212555657,536729769631842300,2014-11-26 07:25:23-05,22,63892,20623
212555658,536729769631842300,2014-11-26 07:55:23-05,16,63908,28362
212555659,536729769631842300,2014-11-26 08:25:23-05,9,63917,14543
212555660,536729769631842300,2014-11-26 08:55:23-05,16,63933,23488
212555661,536729769631842300,2014-11-26 09:25:23-05,17,63950,15778
212555662,536729769631842300,2014-11-26 09:55:23-05,16,63966,33314
212555663,536729769631842300,2014-11-26 10:25:23-05,18,63984,26046
212555664,536729769631842300,2014-11-26 10:55:23-05,16,64000,12721
212555665,536729769631842300,2014-11-26 11:25:23-05,10,64010,8159
212555666,536729769631842300,2014-11-26 11:55:23-05,23,64033,23994
212555667,536729769631842300,2014-11-26 12:25:23-05,19,64052,15496
212555668,536729769631842300,2014-11-26 12:55:23-05,16,64068,13696
212555669,536729769631842300,2014-11-26 13:25:23-05,15,64083,10727
212555670,536729769631842300,2014-11-26 13:55:23-05,11,64094,65368
212555671,536729769631842300,2014-11-26 14:25:23-05,20,64114,40605
212555672,536729769631842300,2014-11-26 14:55:23-05,14,64128,11082
212555673,536729769631842300,2014-11-26 15:25:23-05,21,64149,30810
212555674,536729769631842300,2014-11-26 15:55:23-05,16,64165,23726
